,program_time,sport,program_text,program_info
0,01:00,Cīņas sports,#SpēkaPodcast ar Jāni Eisaku,Jāņa Eisaka podkāsts par spēka un cīņas sporta veidiem (11.12.2020.)
1,02:00,programma,Best4sportTV programma,Best4sportTV programma
2,06:00,Basketbols,BK Ogre pret BK Ventspils,Pafbet Latvijas-Igaunijas Basketbola līgas regulārās sezonas spēle (12.12.2020.)
3,08:00,Handbols,Elverum Handball pret SG Flensburg-Handewitt,EHF grupu turnīra 10. kārtas spēle 2020./2021. gada regulārajā sezonā (10.12.2020.)
4,09:45,Basketbols,Fifth Quarter ep. 12,ACB Liga Endesa 2020./2021. gada sezonas spēļu apskats (15.12.2020.)
5,10:00,Handbols,HBC Nantes pret HC Motor Zaporozhye,EHF grupu turnīra 10. kārtas spēle 2020./2021. gada regulārajā sezonā (09.12.2020.)
6,11:45,Basketbols,Fifth Quarter ep. 12,ACB Liga Endesa 2020./2021. gada sezonas spēļu apskats (15.12.2020.)
7,12:00,Basketbols,Zielona Gora pret Astana,VTB Vienotās līgas 2020./2021. gada regulārās sezonas spēle (14.12.2020.)
8,14:00,Motoru sports,F1LV Podkāsts ep. 100,F1LV Podkāsts (14.12.2020.)
9,15:40,Basketbols,Fifth Quarter ep. 12,ACB Liga Endesa 2020./2021. gada sezonas spēļu apskats (15.12.2020.)
10,16:00,Basketbols,Iberostar Tenerife pret San Pablo Burgos,ACB Liga Endesa 2020./2021. gada regulārās sezonas 14. kārtas spēle (12.12.2020.)
11,18:00,Basketbols,Real Madrid pret Unicaja,ACB Liga Endesa 2020./2021. gada regulārās sezonas 14. kārtas spēle (13.12.2020.)
12,20:00,Motoru sports,Autosporta podkāsts ep. 2,Autosporta podkāsts ar Aldi Putniņu par aktualitātēm autosportā (09.12.2020.)
13,21:00,Sports,SWH Vakara sporta stunda ep.78,Radio SWH Vakara sporta stunda ar Anatoliju Kreipānu un Edgaru Barbaku (14.12.2020.)
14,22:00,Motosports,MXF Podkāsts ep. 43,MX Podkāsts (15.12.2020.)
15,23:40,Basketbols,Fifth Quarter ep. 12,ACB Liga Endesa 2020./2021. gada sezonas spēļu apskats (08.12.2020.)
