,program_time,sport,program_text,program_info
0,00:00,programma,Best4sportTV programma,Best4sportTV programma
1,02:00,programma,Best4sportTV programma,Best4sportTV programma
2,06:00,programma,Best4sportTV programma,Best4sportTV programma
3,08:00,programma,Best4sportTV programma,Best4sportTV programma
4,10:00,programma,Best4sportTV programma,Best4sportTV programma
5,12:00,programma,Best4sportTV programma,Best4sportTV programma
6,14:00,programma,Best4sportTV programma,Best4sportTV programma
7,16:00,programma,Best4sportTV programma,Best4sportTV programma
8,18:00,programma,Best4sportTV programma,Best4sportTV programma
9,20:00,programma,Best4sportTV programma,Best4sportTV programma
10,22:00,programma,Best4sportTV programma,Best4sportTV programma
