,program_time,sport,program_text,program_info
0,00:00,Basketbols,Valmiera Glass ViA pret VEF Rīga,Pafbet Latvijas-Igaunijas Basketbola līgas regulārās sezonas spēle (12.12.2020.)
1,02:00,programma,Best4sportTV programma,Best4sportTV programma
2,06:00,Futbols,FK Jelgava pret FK Liepāja,Optibet Futbola Virslīgas 2020.gada sezonas 27. spēļu kārta (29.11.2020.)
3,08:00,Basketbols,Valmiera Glass ViA pret VEF Rīga,Pafbet Latvijas-Igaunijas Basketbola līgas regulārās sezonas spēle (12.12.2020.)
4,10:00,Basketbols,BK Ogre pret BK Ventspils,Pafbet Latvijas-Igaunijas Basketbola līgas regulārās sezonas spēle (12.12.2020.)
5,12:00,Kamaniņu sports,"2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā divnieku 1. brauciens","2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā 2020./2021 gada sezonā (05.12.2020.)"
6,12:50,Kamaniņu sports,"2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā divnieku 2. brauciens","2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā 2020./2021 gada sezonā (05.12.2020.)"
7,13:40,Kamaniņu sports,"2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā sieviešu 1. brauciens","2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā 2020./2021 gada sezonā (05.12.2020.)"
8,14:35,Kamaniņu sports,"2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā sieviešu 2. brauciens","2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā 2020./2021 gada sezonā (05.12.2020.)"
9,15:30,Kamaniņu sports,"2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā vīriešu 1. brauciens","2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā 2020./2021 gada sezonā (06.12.2020.)"
10,16:35,Kamaniņu sports,"2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā vīriešu 2. brauciens","2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā 2020./2021 gada sezonā (06.12.2020.)"
11,17:40,Kamaniņu sports,"2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā komandu braucirens","2. Eberspacher Pasaules kausa posms kamanās no Altenbergas, Vācijā 2020./2021 gada sezonā (06.12.2020.)"
12,18:40,Basketbols,Fifth Quarter ep. 11,ACB Liga Endesa 2020./2021. gada sezonas spēļu apskats (15.12.2020.)
13,18:55,Motoru sports,"Motoru sporta ""5 minūte""",Iknedēļas Alda Putniņa veidots apskats par motoru sportu
14,19:00,Motoru sports,Autosporta podkāsts ep. 2,Autosporta podkāsts ar Aldi Putniņu par aktualitātēm autosportā (09.12.2020.)
15,20:00,Handbols,Elverum Handball pret SG Flensburg-Handewitt,EHF grupu turnīra 10. kārtas spēle 2020./2021. gada regulārajā sezonā (10.12.2020.)
16,21:45,Basketbols,Fifth Quarter ep. 12,ACB Liga Endesa 2020./2021. gada sezonas spēļu apskats (15.12.2020.)
17,22:00,Handbols,HBC Nantes pret HC Motor Zaporozhye,EHF grupu turnīra 10. kārtas spēle 2020./2021. gada regulārajā sezonā (09.12.2020.)
18,23:45,Basketbols,Fifth Quarter ep. 12,ACB Liga Endesa 2020./2021. gada sezonas spēļu apskats (15.12.2020.)
